Initial State,Final State,Path,Effective Pi-Time
"[3, 3]","[4, -3]","['[3, 3]', '1', '[4, -1]', '0', '[4, -2]', '-1', '[4, -3]']",269.5230822196487
"[3, 2]","[2, 2]","['[3, 2]', '1', '[2, 2]']",144.28052174916866
"[3, 2]","[2, 1]","['[3, 2]', '1', '[2, 1]']",232.66481608802752
"[3, 2]","[2, 0]","['[3, 2]', '0', '[2, 0]']",180.6352793966088
"[3, 2]","[2, -1]","['[3, 2]', '1', '[2, -1]']",122.98791801357962
"[3, 3]","[4, 4]","['[3, 3]', '1', '[4, 2]', '2', '[4, 4]']",197.89560573923677
"[3, 2]","[3, 1]","['[3, 2]', '0', '[3, 1]']",107.22864348681284
"[3, 2]","[3, 0]","['[3, 2]', '0', '[3, 0]']",125.89203117457919
"[3, 2]","[3, -1]","['[3, 2]', '0', '[3, -1]']",200.14303241792885
"[3, 3]","[3, -3]","['[3, 3]', '1', '[2, -1]', '-2', '[3, -3]']",234.13183126699818
"[2, -2]","[3, 3]","['[2, -2]', '0', '[4, -1]', '1', '[3, 3]']",228.60748985580352
"[3, 2]","[1, 1]","['[3, 2]', '0', '[1, 1]']",229.87659190681688
"[3, 3]",-2,"['[3, 3]', '1', '[2, -1]', '-2']",195.07473126699819
"[3, 2]","[3, 3]","['[3, 2]', '1', '[3, 3]']",111.24021330019131
"[3, 2]","[4, 1]","['[3, 2]', '1', '[4, 1]']",105.45115178709364
"[3, 2]","[2, -2]","['[3, 2]', '0', '[2, -2]']",149.2357305677773
"[3, 2]","[4, -1]","['[3, 2]', '1', '[4, -1]']",99.28193599370199
"[3, 2]","[4, -2]","['[3, 2]', '0', '[4, -2]']",93.31966677356175
"[3, 2]","[4, 2]","['[3, 2]', '1', '[4, 2]']",113.2793644824955
"[3, 2]","[4, 3]","['[3, 2]', '1', '[4, 2]', '2', '[4, 3]']",192.73916448249548
"[3, 2]","[4, 4]","['[3, 2]', '1', '[4, 2]', '2', '[4, 4]']",203.96636448249546
"[3, 2]",1,"['[3, 2]', '1']",58.65548602172501
"[3, 2]",2,"['[3, 2]', '1', '[4, 2]', '2']",158.83246448249548
"[3, 2]",0,"['[3, 2]', '0']",64.65791433219024
"[3, 3]",-1,"['[3, 3]', '1', '[4, -1]', '0', '[4, -2]', '-1']",245.47036338515318
"[3, 3]","[4, -2]","['[3, 3]', '1', '[4, -1]', '0', '[4, -2]']",172.691426061588
"[3, 1]","[1, 1]","['[3, 1]', '0', '[1, 1]']",207.78940672924924
"[3, 2]","[1, 0]","['[3, 2]', '1', '[4, 2]', '2', '[1, 0]']",281.7241481383603
"[3, 2]",-2,"['[3, 2]', '1', '[2, -1]', '-2']",201.14549001025688
"[3, 3]","[4, -4]","['[3, 3]', '1', '[2, -1]', '-2', '[4, -4]']",216.07293126699818
"[3, 1]","[2, 0]","['[3, 1]', '0', '[2, 0]']",158.54809421904116
"[3, 1]","[2, 2]","['[3, 1]', '0', '[2, 2]']",176.66354720858376
"[3, 1]","[2, -2]","['[3, 1]', '0', '[2, -2]']",127.14854539020963
"[3, 2]","[3, -3]","['[3, 2]', '1', '[2, -1]', '-2', '[3, -3]']",240.20259001025687
"[3, 1]","[3, 3]","['[3, 1]', '0', '[4, -1]', '1', '[3, 3]']",186.6004027748391
"[3, 1]","[3, 0]","['[3, 1]', '0', '[3, 0]']",103.80484599701154
"[3, 1]","[3, -1]","['[3, 1]', '-1', '[3, -1]']",142.85651183090496
"[3, 2]","[4, 0]","['[3, 2]', '1', '[4, 0]']",109.06232263114035
"[3, 1]","[1, -1]","['[3, 1]', '0', '[1, -1]']",265.4568112044112
"[3, 1]","[2, -1]","['[3, 1]', '0', '[4, -1]', '1', '[2, -1]']",198.34810748822738
"[3, 1]","[3, -3]","['[3, 1]', '-1', '[3, -3]']",206.0819516804463
"[3, 1]","[4, 2]","['[3, 1]', '0', '[4, -1]', '1', '[4, 2]']",188.63955395714328
"[3, 1]","[3, -2]","['[3, 1]', '-1', '[3, -2]']",156.91271857121757
"[3, 1]","[4, 0]","['[3, 1]', '0', '[4, 0]']",110.88652426248974
"[3, 1]","[3, 2]","['[3, 1]', '0', '[3, 2]']",107.22864348681284
"[3, 1]","[2, 1]","['[3, 1]', '-1', '[2, 1]']",213.71114057390344
"[3, 2]",-1,"['[3, 2]', '0', '[4, -2]', '-1']",166.09860409712695
"[3, 1]","[4, 1]","['[3, 1]', '0', '[4, 1]']",176.39898128057158
"[3, 1]","[4, -3]","['[3, 1]', '-1', '[4, -3]']",121.57992095412132
"[3, 1]",1,"['[3, 1]', '0', '[4, -1]', '1']",134.01567549637278
"[3, 1]",0,"['[3, 1]', '0']",42.5707291546226
"[3, 2]","[3, -2]","['[3, 2]', '0', '[4, -2]', '-1', '[3, -2]']",225.4841205487187
"[3, 1]","[4, -2]","['[3, 1]', '0', '[4, -2]']",71.2324815959941
"[3, 1]","[4, 3]","['[3, 1]', '0', '[4, 0]', '2', '[4, 3]']",220.01155069651685
"[3, 1]","[1, 0]","['[3, 1]', '0', '[4, 0]', '2', '[1, 0]']",308.9965343523817
"[3, 2]","[4, -4]","['[3, 2]', '1', '[2, -1]', '-2', '[4, -4]']",222.14369001025688
"[3, 1]",-1,"['[3, 1]', '-1']",97.52720211962583
"[3, 0]","[2, 2]","['[3, 0]', '0', '[2, 2]']",195.3269348963501
"[3, 0]","[2, 0]","['[3, 0]', '0', '[2, 0]']",177.2114819068075
"[3, 2]","[4, -3]","['[3, 2]', '0', '[4, -2]', '-1', '[4, -3]']",190.15132293162245
"[3, 1]","[4, -1]","['[3, 1]', '0', '[4, -1]']",93.3892255243958
"[3, 0]","[2, -2]","['[3, 0]', '-1', '[2, -2]']",144.38035764508535
"[3, 1]",2,"['[3, 1]', '0', '[4, 0]', '2']",186.10485069651685
"[3, 0]","[2, 1]","['[3, 0]', '-1', '[2, 1]']",161.43771255665104
"[3, 0]","[3, -1]","['[3, 0]', '-1', '[3, -1]']",90.58308381365254
"[3, 0]","[3, -2]","['[3, 0]', '-1', '[3, -2]']",104.63929055396514
"[3, 0]","[1, 1]","['[3, 0]', '0', '[1, 1]']",226.45279441701558
"[3, 0]","[3, -3]","['[3, 0]', '-1', '[3, -3]']",153.80852366319385
"[3, 0]","[1, -1]","['[3, 0]', '-1', '[1, -1]']",223.47939088596203
