Initial State Final State                                Path  Effective Pi-Time
       [4, 0]     [4, -3]  [[4, 0], -2, [3, -2], -1, [4, -3]]         746.119291
      [1, -1]           1                        [[1, -1], 1]         202.192580
       [4, 0]     [4, -2]                [[4, 0], 0, [4, -2]]          98.643196
       [4, 0]     [4, -1]                [[4, 0], 1, [4, -1]]          95.315343
      [1, -1]     [4, -2]              [[1, -1], -1, [4, -2]]         255.812066
       [4, 1]          -2            [[4, 1], 0, [2, -2], -2]         325.748329
      [1, -1]      [4, 4]    [[1, -1], -2, [2, 0], 2, [4, 4]]         445.900735
       [4, 1]          -1            [[4, 1], 0, [4, -2], -1]         246.877172
      [1, -1]     [4, -1]               [[1, -1], 1, [4, -1]]         244.564697
       [4, 1]           0                         [[4, 1], 0]         140.512518
      [1, -1]      [4, 0]                [[1, -1], 1, [4, 0]]         255.135806
       [4, 1]           1                         [[4, 1], 1]          47.079403
      [1, -1]      [4, 1]                [[1, -1], 1, [4, 1]]         249.271983
       [4, 1]           2                         [[4, 1], 2]          72.201628
      [1, -1]      [4, 2]                [[1, -1], 1, [4, 2]]         259.529119
       [4, 1]     [4, -4]   [[4, 1], 0, [2, -2], -2, [4, -4]]         347.645329
      [1, -1]      [4, 3]                [[1, -1], 1, [4, 3]]         373.337435
      [1, -1]           2            [[1, -1], -2, [2, 0], 2]         402.670735
       [4, 1]     [4, -3]    [[4, 1], 0, [2, 0], -1, [4, -3]]         432.540673
      [1, -1]     [4, -4]              [[1, -1], -2, [4, -4]]         201.912094
       [4, 1]     [4, -2]                [[4, 1], 0, [4, -2]]         170.407715
      [1, -1]     [4, -3]              [[1, -1], -1, [4, -3]]         204.422401
       [4, 1]     [4, -1]                [[4, 1], 1, [4, -1]]          89.451520
       [4, 1]      [4, 0]                 [[4, 1], 1, [4, 0]]         100.022629
       [3, 2]          -1            [[3, 2], 0, [4, -2], -1]         168.299942
       [3, 2]           0                         [[3, 2], 0]          61.935288
       [3, 2]           1                         [[3, 2], 1]          61.593286
       [3, 2]           2              [[3, 2], 1, [4, 2], 2]         164.761824
       [3, 2]     [4, -4]   [[3, 2], 1, [2, -1], -2, [4, -4]]         232.608985
       [3, 2]     [4, -3]    [[3, 2], 0, [3, 0], -1, [4, -3]]         196.129760
       [3, 2]     [4, -2]                [[3, 2], 0, [4, -2]]          91.830485
       [3, 2]     [4, -1]                [[3, 2], 1, [4, -1]]         103.965403
       [3, 2]      [4, 0]                 [[3, 2], 1, [4, 0]]         114.536512
       [3, 2]      [4, 1]                 [[3, 2], 1, [4, 1]]         108.672689
       [3, 2]      [4, 2]                 [[3, 2], 1, [4, 2]]         118.929824
       [3, 2]      [4, 3]                 [[3, 2], 1, [4, 3]]         232.738141
       [3, 2]      [4, 4]      [[3, 2], 1, [4, 2], 2, [4, 4]]         207.991824
       [3, 2]     [3, -3]    [[3, 2], 0, [3, 0], -1, [3, -3]]         284.265056
       [3, 2]     [3, -2]    [[3, 2], 0, [3, 0], -1, [3, -2]]         233.422674
       [3, 2]     [3, -1]                [[3, 2], 0, [3, -1]]         204.190243
       [3, 2]      [3, 0]                 [[3, 2], 0, [3, 0]]         123.536024
       [3, 1]           0                         [[3, 1], 0]          44.687588
      [2, -1]     [4, -1]               [[2, -1], 1, [4, -1]]         109.454702
       [4, 4]      [4, 1]                 [[4, 4], 2, [4, 1]]         115.431628
      [3, -1]           0                        [[3, -1], 0]         142.254955
       [2, 2]     [4, -2]                [[2, 2], 0, [4, -2]]         158.370210
       [3, 1]           1                         [[3, 1], 1]         153.869268
      [2, -1]      [4, 0]                [[2, -1], 1, [4, 0]]         120.025811
       [4, 4]      [4, 2]                 [[4, 4], 2, [4, 2]]          89.062000
      [3, -1]           1                        [[3, -1], 1]         184.047092
       [2, 2]     [4, -1]                [[2, 2], 1, [4, -1]]         132.294831
       [3, 1]           2              [[3, 1], 0, [4, 0], 2]         191.881889
      [2, -1]      [4, 1]                [[2, -1], 1, [4, 1]]         114.161988
       [4, 4]      [4, 3]                 [[4, 4], 2, [4, 3]]          78.830000
      [3, -1]           2            [[3, -1], -1, [2, 1], 2]         269.028502
       [2, 2]      [4, 0]                 [[2, 2], 1, [4, 0]]         142.865940
       [3, 1]     [4, -4]  [[3, 1], -1, [3, -2], -2, [4, -4]]         225.539689
      [2, -1]      [4, 2]                [[2, -1], 1, [4, 2]]         124.419124
      [3, -3]          -2                       [[3, -3], -2]          41.031000
      [3, -1]     [4, -4]              [[3, -1], -2, [4, -4]]          91.690709
       [2, 2]      [4, 1]                 [[2, 2], 1, [4, 1]]         137.002117
       [3, 1]     [4, -3]               [[3, 1], -1, [4, -3]]         118.493069
      [2, -1]      [4, 3]                [[2, -1], 1, [4, 3]]         238.227440
      [3, -3]          -1                       [[3, -3], -1]         113.215088
      [3, -1]     [4, -3]              [[3, -1], -1, [4, -3]]          70.697351
       [2, 2]      [4, 2]                 [[2, 2], 1, [4, 2]]         147.259253
       [3, 1]     [4, -2]                [[3, 1], 0, [4, -2]]          74.582784
      [2, -1]      [4, 4]    [[2, -1], -2, [2, 0], 2, [4, 4]]         347.921754
      [3, -3]           0            [[3, -3], -1, [3, 0], 0]         222.329768
      [3, -1]     [4, -2]              [[3, -1], -1, [4, -2]]         122.087016
       [2, 2]      [4, 3]                 [[2, 2], 2, [4, 3]]         166.548571
       [3, 1]     [4, -1]                [[3, 1], 0, [4, -1]]          98.067724
      [2, -1]     [3, -3]              [[2, -1], -2, [3, -3]]         123.067113
      [3, -3]           1           [[3, -3], -2, [2, -1], 1]         190.149699
      [3, -1]     [4, -1]               [[3, -1], 0, [4, -1]]         195.635091
       [2, 2]      [4, 4]                 [[2, 2], 2, [4, 4]]         174.178571
